2,1,0,-1,1,-1,3,-2,-1,3,12.22288262
-2,3,-3,0,-3,2,-2,3,-2,1,-7.018336104
-1,2,0,-1,-3,-1,2,-1,2,-1,12.10510711
-3,1,2,2,1,-1,0,1,-3,-2,16.49205299
-1,2,1,3,2,2,3,-1,0,-1,-5.367577365
-1,2,-1,3,3,-3,3,-2,-1,-3,6.020494583
-3,1,3,-1,-1,3,-1,2,-1,0,11.24597493
3,3,-3,0,-1,3,2,3,-3,3,50.51456486
0,2,-1,-1,0,-2,0,3,-2,2,8.370444231
3,2,-1,2,3,2,3,2,-1,2,27.52958537
-1,3,1,0,-1,-3,-2,-3,-3,1,20.62892343
-3,-2,0,1,1,-3,1,1,-3,-3,22.88184937
1,1,3,-3,-2,0,2,0,-2,-1,-6.583588292
-3,1,-1,-1,2,0,-3,-3,-2,-1,8.22526701
1,3,3,0,3,-1,3,-2,0,-1,6.216538949
-3,3,-3,0,-2,-1,3,-1,-2,0,3.603369143
-3,2,2,0,0,-2,-3,2,0,-3,37.50519081
-3,-3,2,-1,3,1,3,-2,-3,-3,15.65652886
-3,-2,-3,-1,1,2,-1,3,0,3,-5.05558033
-2,1,0,-1,0,-1,1,1,-1,3,12.97196302
0,-1,-2,1,1,1,-2,-3,-1,0,-1.880190431
1,1,-3,2,3,-2,0,2,-1,-3,-1.398343657
-3,2,-3,2,0,3,3,-1,-1,3,0.88244397
0,-1,3,2,-2,-1,-1,3,3,-3,7.731312852
-3,3,1,2,0,-1,1,0,0,-2,14.83459384
-2,1,2,-2,3,-1,1,0,-1,1,17.4596698
2,0,0,-3,3,-2,1,-2,-3,3,4.809001297
-3,0,-3,1,-1,0,3,0,0,2,5.575411107
-1,-1,-2,3,-2,0,1,0,-2,1,14.60236044
-3,0,3,0,-3,0,1,-1,3,-2,25.23656994
3,-3,-2,2,0,1,2,0,-2,2,37.13984238
3,2,0,2,3,2,0,-1,-1,-2,28.81180475
2,3,-3,-1,2,1,-3,2,1,3,19.77337455
1,-1,-3,-2,1,-1,0,0,-2,-1,2.935554347
3,0,2,3,-3,0,0,-3,-1,1,77.13390712
1,-2,-1,2,-2,1,1,-3,1,-3,12.51081728
-3,-3,0,3,-2,0,0,0,-2,-2,19.38173625
-3,-2,2,0,-2,-1,0,3,3,1,22.04214195
0,-3,-2,2,3,0,-1,-1,-1,-2,4.201521532
0,-1,1,-1,2,-1,0,-2,-2,-2,8.358528406
-2,-2,0,-3,-2,1,0,-2,3,-1,11.15135664
-1,2,2,-3,2,-2,3,-3,-3,1,4.886007955
