2,-2,2,-1,-2,3,0,2,3,-3,3.37054501
3,2,1,3,3,2,2,-3,-2,-3,-0.082737001
-2,-1,-2,2,0,0,1,0,-2,3,0.831663628
0,0,-3,2,-3,3,-3,0,-2,-1,-3.219332919
-3,2,1,-1,-3,-1,3,1,1,1,-1.618457657
2,2,2,3,1,1,1,3,-1,1,1.625172145
2,0,3,3,1,0,-3,0,2,0,1.191269494
-2,0,1,1,0,2,-3,-3,-2,3,-1.126687621
2,-1,-1,2,-1,3,-2,-2,2,2,-3.934038859
3,-1,-2,-1,-2,3,0,3,1,2,3.282919588
0,-1,0,-1,3,2,3,3,-2,2,-3.74632083
-2,3,3,-1,-2,-2,2,-2,2,1,-3.339150699
1,-3,-1,2,0,3,2,-3,0,-2,-2.487718765
1,2,0,-1,-3,-1,0,0,3,1,2.528850389
-3,2,2,-2,-3,1,0,2,-3,-1,-6.429338951
-1,0,-1,3,-3,0,-1,0,3,0,-4.020021632
1,3,1,-2,-2,3,-2,-1,0,3,0.844193539
0,-1,3,-2,1,3,-3,2,-2,2,-4.858947419
2,2,2,2,3,-2,3,1,-1,2,1.878051586
-2,3,-2,1,1,-1,0,2,0,-3,0.149784646
-3,1,-3,-1,0,-2,2,0,2,3,-0.159853195
3,3,-1,-3,-3,1,-3,1,2,1,3.92874091
-2,0,3,3,-3,3,-2,-2,0,2,-1.221231523
3,1,1,3,3,-1,-2,0,-1,-1,-0.501634586
1,-2,3,-2,-3,1,1,-3,2,3,2.596340311
-1,0,-3,-2,0,-2,1,3,2,0,-3.313288411
1,3,1,2,-3,2,-3,-2,-1,-2,1.495267218
3,0,-1,-1,-1,1,0,3,-2,2,2.773331938
-2,3,3,3,1,3,-1,-1,-3,0,-0.010482448
2,3,2,2,2,-2,1,3,1,-3,0.951719622
0,2,-1,0,-1,0,-1,2,3,-2,1.050829819
1,1,-2,1,-3,-1,-3,3,-3,1,-1.109445986
2,3,3,2,0,-1,-2,0,3,-2,5.333174819
-3,2,-3,-1,-3,-2,-3,-2,0,3,-0.838235048
-2,3,3,-3,-3,-3,2,-1,0,-3,-7.971844937
3,-1,-1,1,1,0,1,2,-2,-2,0.974027075
-2,-3,-1,-1,1,-2,3,3,3,1,0.440987018
1,2,2,-3,-2,1,2,1,3,-2,-2.175986078
2,3,3,-3,-1,-3,3,-3,-1,-1,-0.660908412
1,1,-1,-1,-1,-3,2,1,2,0,-0.013656971
0,3,3,3,1,0,3,1,3,-2,1.828699466
3,0,0,-1,3,3,2,3,2,-3,0.87968061
-3,2,-2,2,-2,-2,1,-3,-1,2,0.487210377
0,-1,-3,2,-2,0,0,-2,2,1,-3.832404277
-1,-2,-3,0,-2,3,0,-2,-3,-1,0.398974129
1,-2,-1,1,-2,-1,0,-3,2,1,-0.009077132
3,1,-1,1,0,3,3,-1,-2,-1,0.315721496
2,-2,3,-3,-3,2,1,0,-2,1,2.241879405
1,-2,1,1,0,1,-2,-2,-1,2,0.181558168
-3,-2,1,-2,3,0,1,1,1,3,-6.588091184
0,1,-1,0,2,0,1,-2,2,-3,-0.311288179
2,-2,-2,-1,-1,0,1,0,-1,1,0.585527997
1,0,1,-3,3,-1,2,1,3,3,-8.705635125
0,-3,3,2,1,1,2,3,1,-1,0.055970192
1,2,0,-3,-3,-1,2,2,-1,-2,-0.271697639
2,3,1,1,-1,-2,-3,3,-2,-1,2.680724155
3,-3,-1,1,3,-1,-2,1,3,3,-1.930424065
-3,-1,-3,-1,-3,-1,1,2,-3,-3,0.184360278
0,3,2,0,-1,-1,-1,-3,0,-1,1.069077574
3,-3,2,3,-3,3,1,1,3,3,-4.199089627
3,1,-3,-3,-2,0,0,2,-3,-1,2.565223225
-2,-1,-1,0,-1,2,0,0,3,3,0.239524051
